Lake,Latitude,Longitude,County,Country,Site,Constituent_Name,Trend_Arrows,Trend_Direction,Trend,Final_Slope,N,Site_ANOVA,Seasonal_ANOVA,POR_Start ,POR_End,%change,POR_Years,Y-intercept,End_Point,units
Chickasha,35.131989,-98.132894,Caddo,US,Whole Lake,Total Phosphorus (mg/L),-2,down,↓↓,-0.0007782,35,NS,***,11/15/1999,9/27/2021,-53.3%,22,0.049,0.03,mg/L
Chickasha,35.131989,-98.132894,Caddo,US,Whole Lake,Turbidity (NTU),-2,down,↓↓,-0.2834,30,***,***,9/22/2004,9/27/2021,-67.2%,17,12,7.18,NTU
Claremore,36.325136,-95.579578,Rogers,US,Whole Lake,Chlorophyll (ug/L),0,N/A,NS Trend,N/A,23,NS,***,9/2/2003,10/10/2022,NS Trend,19,NS Trend,NS Trend,ug/L
Claremore,36.325136,-95.579578,Rogers,US,Whole Lake,Total Nitrogen (mg/L),2,up,↑↑,0.01165,26,NS,***,10/1/2001,10/10/2022,21.4%,21,0.9,1.15,mg/L
Claremore,36.325136,-95.579578,Rogers,US,Whole Lake,Secchi (cm),0,N/A,NS Trend,N/A,24,NS,*,10/1/2001,10/10/2022,NS Trend,21,NS Trend,NS Trend,cm
Claremore,36.325136,-95.579578,Rogers,US,Whole Lake,Conductivity (uS/cm),0,N/A,NS Trend,N/A,22,NS,***,10/20/2001,8/30/2022,NS Trend,21,NS Trend,NS Trend,uS/cm
Claremore,36.325136,-95.579578,Rogers,US,Whole Lake,Total Phosphorus (mg/L),0,N/A,NS Trend,N/A,26,NS,***,10/1/2001,10/10/2022,NS Trend,21,NS Trend,NS Trend,mg/L
Claremore,36.325136,-95.579578,Rogers,US,Whole Lake,Turbidity (NTU),0,N/A,NS Trend,N/A,24,***,***,10/1/2001,10/10/2022,NS Trend,21,NS Trend,NS Trend,NTU
ClearCreek,34.585278,-97.840833,Stephens,US,Whole Lake,Chlorophyll (ug/L),3,up,↑↑↑,0.5999,28,NS,***,11/20/2002,10/31/2021,55.8%,19,9,20.37,ug/L
ClearCreek,34.585278,-97.840833,Stephens,US,Whole Lake,Total Nitrogen (mg/L),3,up,↑↑↑,0.01219,33,NS,***,11/6/2000,9/27/2021,26.7%,21,0.7,0.95,mg/L
ClearCreek,34.585278,-97.840833,Stephens,US,Whole Lake,Secchi (cm),1,up,↑,1.668,24,NS,***,11/6/2000,9/27/2021,41.1%,21,50,84.87,cm
ClearCreek,34.585278,-97.840833,Stephens,US,Whole Lake,Conductivity (uS/cm),3,up,↑↑↑,4.85,33,NS,NS,11/6/2000,8/3/2021,14.4%,21,600,700.70,uS/cm
ClearCreek,34.585278,-97.840833,Stephens,US,Whole Lake,Total Phosphorus (mg/L),0,N/A,NS Trend,N/A,33,NS,***,11/6/2000,9/27/2021,NS Trend,21,NS Trend,NS Trend,mg/L
ClearCreek,34.585278,-97.840833,Stephens,US,Whole Lake,Turbidity (NTU),-1,down,↓,-0.1704,29,**,***,11/6/2000,9/27/2021,-55.3%,21,10,6.44,NTU
Clinton,35.435214,-99.221256,Washita,US,Whole Lake,Chlorophyll (ug/L),0,N/A,NS Trend,N/A,18,NS,***,8/14/2002,8/15/2018,NS Trend,16,NS Trend,NS Trend,ug/L
Clinton,35.435214,-99.221256,Washita,US,Whole Lake,Total Nitrogen (mg/L),0,N/A,NS Trend,N/A,33,NS,*,4/22/1998,8/15/2018,NS Trend,20,NS Trend,NS Trend,mg/L
Clinton,35.435214,-99.221256,Washita,US,Whole Lake,Secchi (cm),2,up,↑↑,1.499,13,NS,***,11/19/2001,9/14/2018,50.2%,17,25,50.23,cm
Clinton,35.435214,-99.221256,Washita,US,Whole Lake,Conductivity (uS/cm),3,up,↑↑↑,10.83,21,NS,**,4/22/1998,8/15/2018,33.9%,20,430,650.16,uS/cm
Clinton,35.435214,-99.221256,Washita,US,Whole Lake,Total Phosphorus (mg/L),0,N/A,NS Trend,N/A,33,NS,***,4/22/1998,8/15/2018,NS Trend,20,NS Trend,NS Trend,mg/L
Clinton,35.435214,-99.221256,Washita,US,Whole Lake,Turbidity (NTU),99,N/A,NEI,N/A,13,NS,***,NEI,NEI,NEI,NEI,NEI,NEI,NTU
Coalgate,34.57175,-96.233131,Coal,US,Whole Lake,Chlorophyll (ug/L),1,up,↑,0.1612,21,NS,***,10/20/2003,11/8/2022,33.9%,19,6,9.07,ug/L
Coalgate,34.57175,-96.233131,Coal,US,Whole Lake,Total Nitrogen (mg/L),0,N/A,NS Trend,N/A,25,NS,***,11/16/2001,11/8/2022,NS Trend,21,NS Trend,NS Trend,mg/L
Coalgate,34.57175,-96.233131,Coal,US,Whole Lake,Secchi (cm),0,N/A,NS Trend,N/A,17,NS,**,11/6/2001,11/8/2022,NS Trend,21,NS Trend,NS Trend,cm
Coalgate,34.57175,-96.233131,Coal,US,Whole Lake,Conductivity (uS/cm),3,up,↑↑↑,2.80,20,NS,NS,11/6/2001,9/23/2022,51.5%,21,55,113.50,uS/cm
Coalgate,34.57175,-96.233131,Coal,US,Whole Lake,Total Phosphorus (mg/L),-1,down,↓,-0.001147,25,NS,NS,11/6/2001,12/16/2022,-34.2%,21,0.095,0.07,mg/L
Coalgate,34.57175,-96.233131,Coal,US,Whole Lake,Turbidity (NTU),-2,down,↓↓,-2.194,21,NS,***,11/6/2001,11/8/2022,-128.5%,21,82,35.88,NTU
Copan,36.886408,-95.967894,Washington,US,Whole Lake,Chlorophyll (ug/L),0,N/A,NS Trend,N/A,22,**,***,1/13/2003,2/24/2020,NS Trend,17,NS Trend,NS Trend,ug/L
Copan,36.886408,-95.967894,Washington,US,Whole Lake,Total Nitrogen (mg/L),1,up,↑,0.01512,29,*,***,10/17/1999,2/24/2020,32.1%,20,0.65,0.96,mg/L
Copan,36.886408,-95.967894,Washington,US,Whole Lake,Secchi (cm),3,up,↑↑↑,3.538,14,NS,***,10/15/2012,3/8/2020,63.6%,7,15,41.18,cm
Copan,36.886408,-95.967894,Washington,US,Whole Lake,Conductivity (uS/cm),0,N/A,NS Trend,N/A,30,NS,***,10/18/1999,2/24/2020,NS Trend,20,NS Trend,NS Trend,uS/cm
Copan,36.886408,-95.967894,Washington,US,Whole Lake,Total Phosphorus (mg/L),0,N/A,NS Trend,N/A,29,***,***,10/17/1999,2/24/2020,NS Trend,20,NS Trend,NS Trend,mg/L
Copan,36.886408,-95.967894,Washington,US,Whole Lake,Turbidity (NTU),-1,down,↓,-2.788,18,***,***,10/25/2004,2/24/2020,-132.7%,15,75,32.23,NTU
Crowder,35.394658,-98.701731,Washita,US,Whole Lake,Chlorophyll (ug/L),3,up,↑↑↑,1.248,66,*,***,10/12/1998,8/22/2019,68.5%,21,12,38.05,ug/L
Crowder,35.394658,-98.701731,Washita,US,Whole Lake,Total Nitrogen (mg/L),3,up,↑↑↑,0.04837,66,***,***,4/21/1998,7/16/2019,59.5%,21,0.7,1.73,mg/L
Crowder,35.394658,-98.701731,Washita,US,Whole Lake,Secchi (cm),0,N/A,NS Trend,N/A,64,***,***,10/12/1998,7/16/2019,NS Trend,21,NS Trend,NS Trend,cm
Crowder,35.394658,-98.701731,Washita,US,Whole Lake,Conductivity (uS/cm),3,up,↑↑↑,11.36,59,***,***,4/21/1998,7/16/2019,19.1%,21,1025,1266.39,uS/cm
Crowder,35.394658,-98.701731,Washita,US,Whole Lake,Total Phosphorus (mg/L),3,up,↑↑↑,0.0043,63,***,***,4/21/1998,7/16/2019,72.3%,21,0.035,0.13,mg/L
Crowder,35.394658,-98.701731,Washita,US,Whole Lake,Turbidity (NTU),0,N/A,NS Trend,N/A,63,***,***,10/12/1998,7/16/2019,NS Trend,21,NS Trend,NS Trend,NTU
Cushing,35.394658,-98.701731,Payne,US,Whole Lake,Chlorophyll (ug/L),0,N/A,NS Trend,N/A,20,*,NS,2/28/2002,7/5/2017,NS Trend,15,NS Trend,NS Trend,ug/L
Cushing,36.011389,-96.875031,Payne,US,Whole Lake,Total Nitrogen (mg/L),0,N/A,NS Trend,N/A,24,NS,***,4/14/1998,7/5/2017,NS Trend,19,NS Trend,NS Trend,mg/L
Cushing,36.011389,-96.875031,Payne,US,Whole Lake,Secchi (cm),0,N/A,NS Trend,N/A,15,NS,***,2/28/2002,7/5/2017,NS Trend,15,NS Trend,NS Trend,cm
Cushing,36.011389,-96.875031,Payne,US,Whole Lake,Conductivity (uS/cm),3,up,↑↑↑,9.70,28,NS,*,8/27/1997,8/10/2017,52.5%,20,175,368.66,uS/cm
Cushing,36.011389,-96.875031,Payne,US,Whole Lake,Total Phosphorus (mg/L),0,N/A,NS Trend,N/A,24,NS,***,4/4/1998,7/5/2017,NS Trend,19,NS Trend,NS Trend,mg/L
Cushing,36.011389,-96.875031,Payne,US,Whole Lake,Turbidity (NTU),-3,down,↓↓↓,-1.259,18,***,***,2/28/2002,9/13/2017,-44.6%,16,63.5,43.92,NTU
Dripping Springs,35.573717,-96.106853,Okmulgee,US,Whole Lake,Chlorophyll (ug/L),1,up,↑,0.1598,25,NS,***,11/22/2004,8/11/2020,39.8%,16,3.8,6.31,ug/L
Dripping Springs,35.573717,-96.106853,Okmulgee,US,Whole Lake,Total Nitrogen (mg/L),0,N/A,NS Trend,N/A,29,NS,NS,10/18/2001,8/11/2020,NS Trend,19,NS Trend,NS Trend,mg/L
Dripping Springs,35.573717,-96.106853,Okmulgee,US,Whole Lake,Secchi (cm),0,N/A,NS Trend,N/A,26,*,***,10/8/2001,8/11/2020,NS Trend,19,NS Trend,NS Trend,cm
Dripping Springs,35.573717,-96.106853,Okmulgee,US,Whole Lake,Conductivity (uS/cm),2,up,↑↑,1.94,31,*,NS,10/18/2001,11/5/2020,27.0%,19,100,137.04,uS/cm
Dripping Springs,35.573717,-96.106853,Okmulgee,US,Whole Lake,Total Phosphorus (mg/L),0,N/A,NS Trend,N/A,25,NS,NS,10/8/2001,8/11/2020,NS Trend,19,NS Trend,NS Trend,mg/L
Dripping Springs,35.573717,-96.106853,Okmulgee,US,Whole Lake,Turbidity (NTU),0,N/A,NS Trend,N/A,29,NS,***,10/8/2001,8/11/2020,NS Trend,19,NS Trend,NS Trend,NTU
Duncan,34.519431,-97.811086,Stephens,US,Whole Lake,Chlorophyll (ug/L),0,N/A,NS Trend,N/A,18,NS,**,11/20/2002,7/8/2019,NS Trend,17,NS Trend,NS Trend,ug/L
Duncan,34.519431,-97.811086,Stephens,US,Whole Lake,Total Nitrogen (mg/L),2,up,↑↑,0.01644,25,NS,NS,6/15/1998,8/15/2019,38.8%,21,0.55,0.90,mg/L
Duncan,34.519431,-97.811086,Stephens,US,Whole Lake,Secchi (cm),99,N/A,NEI,N/A,12,NEI,NEI,NEI,NEI,NEI,NEI,NEI,NEI,cm
Duncan,34.519431,-97.811086,Stephens,US,Whole Lake,Conductivity (uS/cm),1,up,↑,5.49,21,NS,***,6/15/1998,7/8/2019,25.7%,21,335,450.67,uS/cm
Duncan,34.519431,-97.811086,Stephens,US,Whole Lake,Total Phosphorus (mg/L),0,N/A,NS Trend,N/A,25,NS,***,6/15/1998,7/8/2019,NS Trend,21,NS Trend,NS Trend,mg/L
Duncan,34.519431,-97.811086,Stephens,US,Whole Lake,Turbidity (NTU),0,N/A,NS Trend,N/A,19,NS,***,11/6/2000,7/8/2019,NS Trend,19,NS Trend,NS Trend,NTU
