Lake,Monitoring_Location_ID,Characteristic_Name,GAM_Percent_Change,Lower_CI,Upper_CI
Eufaula Lake,220600010050-11,"Chlorophyll a, corrected for pheophytin",215.65,210.82,220.59
Eufaula Lake,220600010060-08,"Chlorophyll a, corrected for pheophytin",94.69,94.67,94.71
Eufaula Lake,220600050010-12,"Chlorophyll a, corrected for pheophytin",177.16,173,181.4
Eufaula Lake,220600050010-13,"Chlorophyll a, corrected for pheophytin",-72.02,-72.12,-71.92
Eufaula Lake,220600050010-14,"Chlorophyll a, corrected for pheophytin",220.89,220.52,221.26
Eufaula Lake,220600050010-15,"Chlorophyll a, corrected for pheophytin",83.31,83.18,83.43
Eufaula Lake,220600050010-16,"Chlorophyll a, corrected for pheophytin",319.89,319.33,320.46
Eufaula Lake,220600050010-17,"Chlorophyll a, corrected for pheophytin",279.29,278.81,279.77
Eufaula Lake,520500010020-03,"Chlorophyll a, corrected for pheophytin",130.84,130.81,130.87
Eufaula Lake,520500010020-04,"Chlorophyll a, corrected for pheophytin",,,
Eufaula Lake,520700010020-01,"Chlorophyll a, corrected for pheophytin",,,
Eufaula Lake,520700010020-02,"Chlorophyll a, corrected for pheophytin",-27.73,-27.73,-27.73
Fairfax Lake,621200040040-01,"Chlorophyll a, corrected for pheophytin",222.98,222.91,223.05
Fairfax Lake,621200040040-02,"Chlorophyll a, corrected for pheophytin",,,
Fairfax Lake,621200040040-03,"Chlorophyll a, corrected for pheophytin",,,
Fort Cobb Reservoir,310830060020-01,"Chlorophyll a, corrected for pheophytin",327.94,327.63,328.24
Fort Cobb Reservoir,310830060020-02,"Chlorophyll a, corrected for pheophytin",188.24,179.68,197.06
Fort Cobb Reservoir,310830060020-03,"Chlorophyll a, corrected for pheophytin",93.76,85.94,101.82
Fort Cobb Reservoir,310830060020-04,"Chlorophyll a, corrected for pheophytin",268.35,261.31,275.54
Fort Cobb Reservoir,310830060020-05,"Chlorophyll a, corrected for pheophytin",171.66,163.01,180.57
Fort Cobb Reservoir,310830060020-06,"Chlorophyll a, corrected for pheophytin",-69.18,-70.77,-67.59
Fort Gibson Lake,121600010050-01,"Chlorophyll a, corrected for pheophytin",,,
Fort Gibson Lake,121600010050-02,"Chlorophyll a, corrected for pheophytin",,,
Fort Gibson Lake,121600010050-03,"Chlorophyll a, corrected for pheophytin",,,
Fort Gibson Lake,121600010050-04,"Chlorophyll a, corrected for pheophytin",,,
Fort Gibson Lake,121600010200-05,"Chlorophyll a, corrected for pheophytin",,,
Fort Gibson Lake,121600010200-06,"Chlorophyll a, corrected for pheophytin",,,
Fort Gibson Lake,121600010200-07,"Chlorophyll a, corrected for pheophytin",,,
Fort Gibson Lake,121600010200-08,"Chlorophyll a, corrected for pheophytin",,,
Fort Supply Lake,720500030020-01,"Chlorophyll a, corrected for pheophytin",52.33,35.99,71.04
Fort Supply Lake,720500030020-02,"Chlorophyll a, corrected for pheophytin",31.2,11.32,54.89
Fort Supply Lake,720500030020-03,"Chlorophyll a, corrected for pheophytin",24.54,10.54,40.39
Fort Supply Lake,720500030020-04,"Chlorophyll a, corrected for pheophytin",,,
Fort Supply Lake,720500030020-05,"Chlorophyll a, corrected for pheophytin",,,
Foss Reservoir,310840010020-01,"Chlorophyll a, corrected for pheophytin",,,
Foss Reservoir,310840010020-02,"Chlorophyll a, corrected for pheophytin",,,
Foss Reservoir,310840010020-03,"Chlorophyll a, corrected for pheophytin",,,
Foss Reservoir,310840010020-04,"Chlorophyll a, corrected for pheophytin",,,
Foss Reservoir,310840010020-05,"Chlorophyll a, corrected for pheophytin",,,
Fuqua Lake,310810040050-01,"Chlorophyll a, corrected for pheophytin",,,
Fuqua Lake,310810040050-02,"Chlorophyll a, corrected for pheophytin",,,
Fuqua Lake,310810040050-03,"Chlorophyll a, corrected for pheophytin",,,
Fuqua Lake,310810040050-04,"Chlorophyll a, corrected for pheophytin",,,
Fuqua Lake,310810040050-05,"Chlorophyll a, corrected for pheophytin",,,
Grand Lake,121600030020-01,"Chlorophyll a, corrected for pheophytin",-69.05,-86.07,-48.47
Grand Lake,121600030020-02,"Chlorophyll a, corrected for pheophytin",-229.69,-311.31,-146.41
Grand Lake,121600030020-03,"Chlorophyll a, corrected for pheophytin",5.42,-172.68,191.37
Grand Lake,121600030030-04,"Chlorophyll a, corrected for pheophytin",944.21,766.87,1128.51
Grand Lake,121600030030-05,"Chlorophyll a, corrected for pheophytin",-39.22,-48.32,-29.33
Grand Lake,121600030030-06,"Chlorophyll a, corrected for pheophytin",95.23,-46.38,241.7
Grand Lake,121600030030-07,"Chlorophyll a, corrected for pheophytin",-214.66,-345.16,-79.87
Grand Lake,121600030030-08,"Chlorophyll a, corrected for pheophytin",-143.79,-358.96,83.17
Grand Lake,121600030030-09,"Chlorophyll a, corrected for pheophytin",-379.8,-429.47,-329.51
Grand Lake,121600030040-10,"Chlorophyll a, corrected for pheophytin",-98.02,-102.26,-93.54
Grand Lake,121600030040-11,"Chlorophyll a, corrected for pheophytin",-505.11,-586.32,-422.2
Grand Lake,121600030040-12,"Chlorophyll a, corrected for pheophytin",-182.03,-318.73,-40.64
Grand Lake,121600030040-13,"Chlorophyll a, corrected for pheophytin",-252.45,-375.37,-125.72
Great Salt Plains Lake,621010010020-01,"Chlorophyll a, corrected for pheophytin",216.89,215.1,218.69
Great Salt Plains Lake,621010010020-02,"Chlorophyll a, corrected for pheophytin",-149.4,-150.56,-148.23
Great Salt Plains Lake,621010010020-03,"Chlorophyll a, corrected for pheophytin",-165.51,-166.8,-164.22
Great Salt Plains Lake,621010010020-04,"Chlorophyll a, corrected for pheophytin",-1.72,-1.72,-1.72
Great Salt Plains Lake,621010010020-05,"Chlorophyll a, corrected for pheophytin",50.57,50.5,50.65
Greenleaf Lake,120400010130-01,"Chlorophyll a, corrected for pheophytin",-662.79,-699.91,-625.35
Greenleaf Lake,120400010130-02,"Chlorophyll a, corrected for pheophytin",-283.35,-334.71,-231.26
Greenleaf Lake,120400010130-03,"Chlorophyll a, corrected for pheophytin",-609.11,-652.77,-564.91
Greenleaf Lake,120400010130-04,"Chlorophyll a, corrected for pheophytin",-79.46,-82.26,-76.52
Greenleaf Lake,120400010130-05,"Chlorophyll a, corrected for pheophytin",-77.92,-78.49,-77.34
Guthrie Lake,620910040060-01,"Chlorophyll a, corrected for pheophytin",,,
Guthrie Lake,620910040060-02,"Chlorophyll a, corrected for pheophytin",,,
Guthrie Lake,620910040060-03,"Chlorophyll a, corrected for pheophytin",,,
Guthrie Lake,620910040060-04,"Chlorophyll a, corrected for pheophytin",,,
Guthrie Lake,620910040060-05,"Chlorophyll a, corrected for pheophytin",,,
Healdton Lake,311100030130-01,"Chlorophyll a, corrected for pheophytin",209.9,-405.07,847.23
Healdton Lake,311100030130-02,"Chlorophyll a, corrected for pheophytin",3605.12,2502.83,4774.81
Healdton Lake,311100030130-03,"Chlorophyll a, corrected for pheophytin",-2206.92,-3016.27,-1353.87
Healdton Lake,311100030130-04,"Chlorophyll a, corrected for pheophytin",373.88,263.45,490.05
Healdton Lake,311100030130-05,"Chlorophyll a, corrected for pheophytin",159,135.69,182.6
Hefner Lake,620910040200-01,"Chlorophyll a, corrected for pheophytin",376.17,323.49,433.03
Hefner Lake,620910040200-02,"Chlorophyll a, corrected for pheophytin",507.68,493.83,521.84
Hefner Lake,620910040200-03,"Chlorophyll a, corrected for pheophytin",507.08,481.03,534.21
Hefner Lake,620910040200-04,"Chlorophyll a, corrected for pheophytin",,,
Hefner Lake,620910040200-05,"Chlorophyll a, corrected for pheophytin",,,
Heyburn Lake,120420020300-01,"Chlorophyll a, corrected for pheophytin",,,
Heyburn Lake,120420020300-02,"Chlorophyll a, corrected for pheophytin",,,
Heyburn Lake,120420020300-03,"Chlorophyll a, corrected for pheophytin",,,
Heyburn Lake,120420020300-04,"Chlorophyll a, corrected for pheophytin",,,
Heyburn Lake,120420020300-05,"Chlorophyll a, corrected for pheophytin",,,
Holdenville Lake,520800010040-01,"Chlorophyll a, corrected for pheophytin",15175.56,10720.84,25749.7
Holdenville Lake,520800010040-02,"Chlorophyll a, corrected for pheophytin",142.67,142.6,142.73
Holdenville Lake,520800010040-03,"Chlorophyll a, corrected for pheophytin",70.9,70.88,70.93
Holdenville Lake,520800010040-04,"Chlorophyll a, corrected for pheophytin",,,
Holdenville Lake,520800010040-05,"Chlorophyll a, corrected for pheophytin",,,
Hominy Lake,121300040330-01,"Chlorophyll a, corrected for pheophytin",4102.82,4050.57,4155.55
Hominy Lake,121300040330-02,"Chlorophyll a, corrected for pheophytin",2243.04,2218.41,2267.83
Hominy Lake,121300040330-03,"Chlorophyll a, corrected for pheophytin",,,
Hudson Lake,121400020090-01,"Chlorophyll a, corrected for pheophytin",,,
Hudson Lake,121400020090-02,"Chlorophyll a, corrected for pheophytin",,,
Hudson Lake,121400020090-03,"Chlorophyll a, corrected for pheophytin",,,
Hugo Lake,410300020020-01,"Chlorophyll a, corrected for pheophytin",911.48,853.95,971.24
Hugo Lake,410300020020-02,"Chlorophyll a, corrected for pheophytin",77.54,66.84,88.37
Hugo Lake,410300020020-03,"Chlorophyll a, corrected for pheophytin",405.24,399.83,410.68
Hugo Lake,410300020020-04,"Chlorophyll a, corrected for pheophytin",463.67,436.87,491.18
Hugo Lake,410300020020-05,"Chlorophyll a, corrected for pheophytin",137.21,123.44,151.21
Hulah Lake,121400030020-01,"Chlorophyll a, corrected for pheophytin",-135.88,-152.41,-118.94
Hulah Lake,121400030020-02,"Chlorophyll a, corrected for pheophytin",-131.14,-167.15,-93.1
Hulah Lake,121400030020-03,"Chlorophyll a, corrected for pheophytin",-147.71,-175.03,-119.22
Hulah Lake,121400030020-04,"Chlorophyll a, corrected for pheophytin",,,
Hulah Lake,121400030020-05,"Chlorophyll a, corrected for pheophytin",,,
Humphreys Lake,310810040150-01,"Chlorophyll a, corrected for pheophytin",,,
Humphreys Lake,310810040150-02,"Chlorophyll a, corrected for pheophytin",,,
Humphreys Lake,310810040150-03,"Chlorophyll a, corrected for pheophytin",,,
Humphreys Lake,310810040150-04,"Chlorophyll a, corrected for pheophytin",,,
Humphreys Lake,310810040150-05,"Chlorophyll a, corrected for pheophytin",,,
John Wells Lake,220200040030-01,"Chlorophyll a, corrected for pheophytin",-823.18,-1168.17,-442.12
John Wells Lake,220200040030-02,"Chlorophyll a, corrected for pheophytin",-84.37,-854.43,866.34
John Wells Lake,220200040030-03,"Chlorophyll a, corrected for pheophytin",9.25,-691.36,854.33
Kaw Lake,621210000020-01,"Chlorophyll a, corrected for pheophytin",1448.04,1445.72,1450.37
Kaw Lake,621210000020-02,"Chlorophyll a, corrected for pheophytin",3491.54,3479.96,3503.17
Kaw Lake,621210000040-03,"Chlorophyll a, corrected for pheophytin",1256.3,1254.5,1258.11
Kaw Lake,621210000040-04,"Chlorophyll a, corrected for pheophytin",2486.83,2480.68,2493.02
Kaw Lake,621210000040-05,"Chlorophyll a, corrected for pheophytin",8319.3,7396.36,9424.76
Keystone Lake,620900010020-06,"Chlorophyll a, corrected for pheophytin",30.27,30.26,30.29
Keystone Lake,620900010020-07,"Chlorophyll a, corrected for pheophytin",-2.13,-2.14,-2.13
Keystone Lake,620900010020-08,"Chlorophyll a, corrected for pheophytin",54.22,54.19,54.26
Keystone Lake,620900010020-09,"Chlorophyll a, corrected for pheophytin",75.9,75.86,75.94
Keystone Lake,620900010090-10,"Chlorophyll a, corrected for pheophytin",111.33,111.25,111.41
Keystone Lake,620900010090-11,"Chlorophyll a, corrected for pheophytin",703.23,702.53,703.93
Keystone Lake,620900010090-12,"Chlorophyll a, corrected for pheophytin",986.09,972.98,999.23
Keystone Lake,621200010020-01,"Chlorophyll a, corrected for pheophytin",50.4,50.37,50.44
Keystone Lake,621200010020-02,"Chlorophyll a, corrected for pheophytin",,,
Keystone Lake,621200010050-03,"Chlorophyll a, corrected for pheophytin",-97.18,-97.23,-97.12
Keystone Lake,621200010050-04,"Chlorophyll a, corrected for pheophytin",-25.19,-25.2,-25.18
Keystone Lake,621200010050-05,"Chlorophyll a, corrected for pheophytin",-66.67,-66.7,-66.64
Lake Carl Blackwell,620900040280-01,"Chlorophyll a, corrected for pheophytin",,,
Lake Carl Blackwell,620900040280-02,"Chlorophyll a, corrected for pheophytin",19.15,-11.19,52.55
Lake Carl Blackwell,620900040280-03,"Chlorophyll a, corrected for pheophytin",-3.76,-50.15,50.55
Lake Carl Blackwell,620900040280-04,"Chlorophyll a, corrected for pheophytin",-12.59,-56.64,39.33
Lake Carl Blackwell,620900040280-05,"Chlorophyll a, corrected for pheophytin",747.48,250.98,1328.08
Lake Chickasha,310830040020-01,"Chlorophyll a, corrected for pheophytin",-17.05,-37.88,5.42
Lake Chickasha,310830040020-02,"Chlorophyll a, corrected for pheophytin",-12.05,-34.62,12.59
Lake Chickasha,310830040020-03,"Chlorophyll a, corrected for pheophytin",-19.65,-39.36,1.64
Lake Chickasha,310830040020-04,"Chlorophyll a, corrected for pheophytin",,,
Lake Chickasha,310830040020-05,"Chlorophyll a, corrected for pheophytin",,,
Lake El Reno,520530000080-01,"Chlorophyll a, corrected for pheophytin",-322.79,-379.09,-263.76
Lake El Reno,520530000080-02,"Chlorophyll a, corrected for pheophytin",15.85,-55.64,91.22
Lake El Reno,520530000080-03,"Chlorophyll a, corrected for pheophytin",184.26,114.48,257.5
Lake Ellsworth,311300030020-01,"Chlorophyll a, corrected for pheophytin",532.75,404.71,690.18
