Stream,WaterbodySiteName,County,State,Country,USGS_ID,Monitoring_ID,Parameter,TrendConc,TrendConcNum,ConcentrationTrend,ChangeinConc_mg,Units_mg,ChangeinConc_ug,Units_ug,PerChangeConc,TrendFlux,TrendFluxNum,FluxTrend,ChangeinFlux,PerChangeFlux,Method,Latitude,Longitude,N
Arkansas River,"Arkansas River, SH 18, Ralston",Pawnee,OK,US,7152500,621200010200-001AT,Total Nitrogen,Highly Likely Upward,-3,↑↑↑,0.245,mg/L,245,ug/L,0.1845,Highly Likely Upward,-3,↑↑↑,1.5 10^6 kg/year,0.1277,EGRET,36.5,-96.73,
Arkansas River,"Arkansas River, SH 18, Ralston",Pawnee,OK,US,7152500,621200010200-001AT,Total Phosphorus,Likely Downward,1,↓,-0.0161,mg/L,-16.1,ug/L,-0.0647,Likely Upward,-1,↑,0.151 10^6 kg/year,-0.1135,EGRET,36.5,-96.73,
Arkansas River,"Arkansas River, SH 18, Ralston",Pawnee,OK,US,7152500,621200010200-001AT,Specific Conductance,Highly Likely Upward,-3,↑↑↑,0.245,uS/cm,0.245,uS/cm,0.2088,Not Applicable,50,Not Applicable,Not Applicable,0,EGRET,36.5,-96.73,
Arkansas River,"Arkansas River, SH 18, Ralston",Pawnee,OK,US,7152500,621200010200-001AT,Total hardness,Likely Upward,-1,↑,20.5,mg/L,20.5,mg/L,0.0747,Not Applicable,50,Not Applicable,Not Applicable,0,EGRET,36.5,-96.73,
Arkansas River,"Arkansas River, SH 18, Ralston",Pawnee,OK,US,7152500,621200010200-001AT,Chlorophyll a,Likely Upward,-1,↑,20.3,ug/L,20.3,ug/L,0.9551,Not Applicable,50,Not Applicable,Not Applicable,0,EGRET,36.5,-96.73,
Arkansas River,"Arkansas River, SH 18, Ralston",Pawnee,OK,US,,,Dissolved oxygen,Likely Upward,-1,↑,0.03013,mg/L,0.03013,mg/L,0.0692,Not Applicable,50,Not Applicable,Not Applicable,0,Seasonal Kendall,36.5,-96.73,183
Arkansas River,"Arkansas River, SH 18, Ralston",Pawnee,OK,US,,,"Temperature, water",No Likely Trend,0,No Significant Trend,No Significant Trend,deg C,No Significant Trend,deg C,0,Not Applicable,50,Not Applicable,Not Applicable,0,Seasonal Kendall,36.5,-96.73,184
Arkansas River,"Arkansas River, SH 18, Ralston",Pawnee,OK,US,,,Turbidity,Highly Likely Downward,3,↓↓↓,-0.9062,NTU,-0.9062,NTU,-2.9316,Not Applicable,50,Not Applicable,Not Applicable,0,Seasonal Kendall,36.5,-96.73,183
Arkansas River,"Arkansas River, SH 97, Sand Springs",Tulsa,OK,US,,,Dissolved oxygen,Highly Likely Upward,-3,↑↑↑,0.2198,mg/L,0.2198,mg/L,0.2761,Not Applicable,50,Not Applicable,Not Applicable,0,Seasonal Kendall,36.12,-96.12,103
Arkansas River,"Arkansas River, SH 97, Sand Springs",Tulsa,OK,US,,,"Temperature, water",No Likely Trend,0,No Significant Trend,No Significant Trend,deg C,No Significant Trend,deg C,0,Not Applicable,50,Not Applicable,Not Applicable,0,Seasonal Kendall,36.12,-96.12,103
Arkansas River,"Arkansas River, SH 97, Sand Springs",Tulsa,OK,US,,,Turbidity,No Likely Trend,0,No Significant Trend,No Significant Trend,NTU,No Significant Trend,NTU,0,Not Applicable,50,Not Applicable,Not Applicable,0,Seasonal Kendall,36.12,-96.12,104
Arkansas River,"Arkansas River, SH 97, Sand Springs",Tulsa,OK,US,,,Chlorophyll a,Highly Likely Upward,-3,↑↑↑,1.034,ug/L,1.034,ug/L,0.6564,Not Applicable,50,Not Applicable,Not Applicable,0,Seasonal Kendall,36.12,-96.12,32
Arkansas River,"Arkansas River, SH 97, Sand Springs",Tulsa,OK,US,,,Total Phosphorus,No Likely Trend,0,No Significant Trend,No Significant Trend,mg/L,No Significant Trend,ug/L,0,Not Applicable,50,Not Applicable,Not Applicable,0,Seasonal Kendall,36.12,-96.12,105
Arkansas River,"Arkansas River, SH 97, Sand Springs",Tulsa,OK,US,,,Specific Conductance,No Likely Trend,0,No Significant Trend,No Significant Trend,uS/cm,No Significant Trend,uS/cm,0,Not Applicable,50,Not Applicable,Not Applicable,0,Seasonal Kendall,36.12,-96.12,103
Arkansas River,"Arkansas River, SH 97, Sand Springs",Tulsa,OK,US,,,Total hardness,No Likely Trend,0,No Significant Trend,No Significant Trend,mg/L,No Significant Trend,mg/L,0,Not Applicable,50,Not Applicable,Not Applicable,0,Seasonal Kendall,36.12,-96.12,105
Arkansas River,"Arkansas River, SH 97, Sand Springs",Tulsa,OK,US,,,Total Nitrogen,No Likely Trend,0,No Significant Trend,No Significant Trend,mg/L,No Significant Trend,ug/L,0,Not Applicable,50,Not Applicable,Not Applicable,0,Seasonal Kendall,36.12,-96.12,104
Arkansas River,"Arkansas River, US 62, Muskogee",Muskogee,OK,US,7194500,120400010260-001AT,Total Nitrogen,No Likely Trend,0,No Significant Trend,0.0384,mg/L,38.4,ug/L,0.0336,Likely Upward,-1,↑,4.52 10^6 kg/year,0.1685,EGRET,35.77,-95.3,
Arkansas River,"Arkansas River, US 62, Muskogee",Muskogee,OK,US,7194500,120400010260-001AT,Total Phosphorus,Likely Upward,-1,↑,0.00843,mg/L,8.43,ug/L,0.0591,Likely Upward,-1,↑,0.663 10^6 kg/year,0.2119,EGRET,35.77,-95.3,
Arkansas River,"Arkansas River, US 62, Muskogee",Muskogee,OK,US,7194500,120400010260-001AT,Specific Conductance,No Likely Trend,0,No Significant Trend,-27.5,uS/cm,-27.5,uS/cm,-0.0357,Not Applicable,50,Not Applicable,Not Applicable,0,EGRET,35.77,-95.3,
Arkansas River,"Arkansas River, US 62, Muskogee",Muskogee,OK,US,7194500,120400010260-001AT,Total hardness,Likely Downward,1,↓,-5.24,mg/L,-5.24,mg/L,0.031,Not Applicable,50,Not Applicable,Not Applicable,0,EGRET,35.77,-95.3,
Arkansas River,"Arkansas River, US 62, Muskogee",Muskogee,OK,US,7194500,120400010260-001AT,Chlorophyll a,Likely Downward,1,↓,-3.16,ug/L,-3.16,ug/L,-0.1565,Not Applicable,50,Not Applicable,Not Applicable,0,EGRET,35.77,-95.3,
Arkansas River,"Arkansas River, US 62, Muskogee",Muskogee,OK,US,,,Dissolved oxygen,Highly Likely Upward,-3,↑↑↑,0.05572,mg/L,0.05572,mg/L,0.1472,Not Applicable,50,Not Applicable,Not Applicable,0,Seasonal Kendall,35.77,-95.3,135
Arkansas River,"Arkansas River, US 62, Muskogee",Muskogee,OK,US,,,"Temperature, water",No Likely Trend,0,No Significant Trend,No Significant Trend,deg C,No Significant Trend,deg C,0,Not Applicable,50,Not Applicable,Not Applicable,0,Seasonal Kendall,35.77,-95.3,135
Arkansas River,"Arkansas River, US 62, Muskogee",Muskogee,OK,US,,,Turbidity,Highly Likely Downward,3,↓↓↓,-0.6618,NTU,-0.6618,NTU,-1.1872,Not Applicable,50,Not Applicable,Not Applicable,0,Seasonal Kendall,35.77,-95.3,134
Arkansas River,"Arkansas River, US 64, Bixby",Tulsa,OK,US,,,Dissolved oxygen,Highly Likely Upward,-3,↑↑↑,0.313,mg/L,0.313,mg/L,0.3881,Not Applicable,50,Not Applicable,Not Applicable,0,Seasonal Kendall,35.96,-95.89,116
Arkansas River,"Arkansas River, US 64, Bixby",Tulsa,OK,US,,,"Temperature, water",No Likely Trend,0,No Significant Trend,No Significant Trend,deg C,No Significant Trend,deg C,0,Not Applicable,50,Not Applicable,Not Applicable,0,Seasonal Kendall,35.96,-95.89,116
Arkansas River,"Arkansas River, US 64, Bixby",Tulsa,OK,US,,,Turbidity,Highly Likely Downward,3,↓↓↓,-0.9695,NTU,-0.9695,NTU,-1.1484,Not Applicable,50,Not Applicable,Not Applicable,0,Seasonal Kendall,35.96,-95.89,115
Arkansas River,"Arkansas River, US 64, Bixby",Tulsa,OK,US,,,Chlorophyll a,Highly Likely Upward,-3,↑↑↑,2.476,ug/L,2.476,ug/L,0.8206,Not Applicable,50,Not Applicable,Not Applicable,0,Seasonal Kendall,35.96,-95.89,32
Arkansas River,"Arkansas River, US 64, Bixby",Tulsa,OK,US,,,Total Phosphorus,No Likely Trend,0,No Significant Trend,No Significant Trend,mg/L,No Significant Trend,ug/L,0,Not Applicable,50,Not Applicable,Not Applicable,0,Seasonal Kendall,35.96,-95.89,118
Arkansas River,"Arkansas River, US 64, Bixby",Tulsa,OK,US,,,Specific Conductance,Likely Upward,-1,↑,23.86,uS/cm,23.86,uS/cm,0.206,Not Applicable,50,Not Applicable,Not Applicable,0,Seasonal Kendall,35.96,-95.89,116
Arkansas River,"Arkansas River, US 64, Bixby",Tulsa,OK,US,,,Total hardness,No Likely Trend,0,No Significant Trend,No Significant Trend,mg/L,No Significant Trend,mg/L,0,Not Applicable,50,Not Applicable,Not Applicable,0,Seasonal Kendall,35.96,-95.89,117
Arkansas River,"Arkansas River, US 64, Bixby",Tulsa,OK,US,,,Total Nitrogen,Highly Likely Upward,-3,↑↑↑,0.03346,mg/L,33.46,ug/L,0.2874,Not Applicable,50,Not Applicable,Not Applicable,0,Seasonal Kendall,35.96,-95.89,116
Baron Fork,"Barren Fork, SH 51, Eldon",Cherokee,OK,US,7197000,121700050010-001AT,Total Nitrogen,Likely Downward,1,↓,-0.248,mg/L,-248,ug/L,-0.1519,Likely Upward,-1,↑,0.127 10^6 kg/year,0.1927,EGRET,35.92,-94.84,
Baron Fork,"Barren Fork, SH 51, Eldon",Cherokee,OK,US,7197000,121700050010-001AT,Total Phosphorus,Highly Likely Downward,3,↓↓↓,-0.0162,mg/L,-16.2,ug/L,-0.3256,Somewhat Likely Downward,2,↓↓,-0.00961 10^6 kg/year,-0.2072,EGRET,35.92,-94.84,
Baron Fork,"Barren Fork, SH 51, Eldon",Cherokee,OK,US,7197000,121700050010-001AT,Specific Conductance,Highly Likely Upward,-3,↑↑↑,31.7,uS/cm,31.7,uS/cm,0.173,Not Applicable,50,Not Applicable,Not Applicable,0,EGRET,35.92,-94.84,
Baron Fork,"Barren Fork, SH 51, Eldon",Cherokee,OK,US,7197000,121700050010-001AT,Total hardness,Highly Likely Upward,-3,↑↑↑,13.2,mg/L,13.2,mg/L,0.1474,Not Applicable,50,Not Applicable,Not Applicable,0,EGRET,35.92,-94.84,
Baron Fork,"Barren Fork, SH 51, Eldon",Cherokee,OK,US,7197000,121700050010-001AT,Chlorophyll a,Likely Upward,-1,↑,0.194,ug/L,0.194,ug/L,0.1282,Not Applicable,50,Not Applicable,Not Applicable,0,EGRET,35.92,-94.84,
Barren Fork River,"Barren Fork, SH 51, Eldon",Cherokee,OK,US,,,Dissolved oxygen,Highly Likely Upward,-3,↑↑↑,0.09748,mg/L,0.09748,mg/L,0.2112,Not Applicable,50,Not Applicable,Not Applicable,0,Seasonal Kendall,35.92,-94.84,159
Barren Fork River,"Barren Fork, SH 51, Eldon",Cherokee,OK,US,,,"Temperature, water",No Likely Trend,0,No Significant Trend,No Significant Trend,deg C,No Significant Trend,deg C,0,Not Applicable,50,Not Applicable,Not Applicable,0,Seasonal Kendall,35.92,-94.84,159
Barren Fork River,"Barren Fork, SH 51, Eldon",Cherokee,OK,US,,,Turbidity,Highly Likely Downward,3,↓↓↓,-0.05043,NTU,-0.05043,NTU,-1.6553,Not Applicable,50,Not Applicable,Not Applicable,0,Seasonal Kendall,35.92,-94.84,155
Beaver Creek,Beaver Creek near Ryan,Jefferson,OK,US,,,Dissolved oxygen,Highly Likely Upward,-3,↑↑↑,0.5576,mg/L,0.5576,mg/L,0.3464,Not Applicable,50,Not Applicable,Not Applicable,0,Seasonal Kendall,34.02,-97.97,38
Beaver Creek,Beaver Creek near Ryan,Jefferson,OK,US,,,"Temperature, water",Likely Upward,-1,↑,0.5285,deg C,0.5285,deg C,0.1756,Not Applicable,50,Not Applicable,Not Applicable,0,Seasonal Kendall,34.02,-97.97,39
Beaver Creek,Beaver Creek near Ryan,Jefferson,OK,US,,,Turbidity,No Likely Trend,0,No Significant Trend,No Significant Trend,NTU,No Significant Trend,NTU,0,Not Applicable,50,Not Applicable,Not Applicable,0,Seasonal Kendall,34.02,-97.97,39
Beaver Creek,Beaver Creek near Ryan,Jefferson,OK,US,,,Chlorophyll a,Somewhat Likely Downward,2,↓↓,-7.506,ug/L,-7.506,ug/L,-3.3133,Not Applicable,50,Not Applicable,Not Applicable,0,Seasonal Kendall,34.02,-97.97,39
Beaver Creek,Beaver Creek near Ryan,Jefferson,OK,US,,,Total Phosphorus,Highly Likely Downward,3,↓↓↓,-0.04089,mg/L,-40.89,ug/L,-0.988,Not Applicable,50,Not Applicable,Not Applicable,0,Mann-Kendall,34.02,-97.97,39
Beaver Creek,Beaver Creek near Ryan,Jefferson,OK,US,,,Specific Conductance,No Likely Trend,0,No Significant Trend,No Significant Trend,uS/cm,No Significant Trend,uS/cm,0,Not Applicable,50,Not Applicable,Not Applicable,0,Seasonal Kendall,34.02,-97.97,39
Beaver Creek,Beaver Creek near Ryan,Jefferson,OK,US,,,Total hardness,No Likely Trend,0,No Significant Trend,No Significant Trend,mg/L,No Significant Trend,mg/L,0,Not Applicable,50,Not Applicable,Not Applicable,0,Seasonal Kendall,34.02,-97.97,39
Beaver Creek,Beaver Creek near Ryan,Jefferson,OK,US,,,Total Nitrogen,Highly Likely Downward,3,↓↓↓,-0.2627,mg/L,-262.7,ug/L,-2.3222,Not Applicable,50,Not Applicable,Not Applicable,0,Seasonal Kendall,34.02,-97.97,39
Beaver River,"Beaver River, off US 64, Guymon",Texas,OK,US,,,Dissolved oxygen,No Likely Trend,0,No Significant Trend,No Significant Trend,mg/L,No Significant Trend,mg/L,0,Not Applicable,50,Not Applicable,Not Applicable,0,Mann-Kendall,36.71,-101.64,112
Beaver River,"Beaver River, off US 64, Guymon",Texas,OK,US,,,"Temperature, water",No Likely Trend,0,No Significant Trend,No Significant Trend,deg C,No Significant Trend,deg C,0,Not Applicable,50,Not Applicable,Not Applicable,0,Seasonal Kendall,36.71,-101.64,112
Beaver River,"Beaver River, off US 64, Guymon",Texas,OK,US,,,Turbidity,Highly Likely Downward,3,↓↓↓,-0.5703,NTU,-0.5703,NTU,-0.4416,Not Applicable,50,Not Applicable,Not Applicable,0,Seasonal Kendall,36.71,-101.64,113
Beaver River,"Beaver River, off US 64, Guymon",Texas,OK,US,,,Total Phosphorus,Highly Likely Downward,3,↓↓↓,-0.001691,mg/L,-1.691,ug/L,-1.0185,Not Applicable,50,Not Applicable,Not Applicable,0,Seasonal Kendall,36.71,-101.64,113
Beaver River,"Beaver River, off US 64, Guymon",Texas,OK,US,,,Specific Conductance,Highly Likely Upward,-3,↑↑↑,4.379,uS/cm,4.379,uS/cm,0.1179,Not Applicable,50,Not Applicable,Not Applicable,0,Seasonal Kendall,36.71,-101.64,112
Beaver River,"Beaver River, off US 64, Guymon",Texas,OK,US,,,Total hardness,Highly Likely Upward,-3,↑↑↑,2.602,mg/L,2.602,mg/L,0.1426,Not Applicable,50,Not Applicable,Not Applicable,0,Seasonal Kendall,36.71,-101.64,112
Beaver River,"Beaver River, off US 64, Guymon",Texas,OK,US,,,Total Nitrogen,Highly Likely Downward,3,↓↓↓,-0.01199,mg/L,-11.99,ug/L,-0.4749,Not Applicable,50,Not Applicable,Not Applicable,0,Seasonal Kendall,36.71,-101.64,113
Beaver River,"Beaver River, SH 23, Beaver",Beaver,OK,US,7234000,720500020290-001AT,Total Nitrogen,Highly Likely Upward,-3,↑↑↑,0.821,mg/L,821,ug/L,1.1342,Likely Downward,1,↓,-0.000691 10^6 kg/year,-0.1844,EGRET,36.82,-100.52,
Beaver River,"Beaver River, SH 23, Beaver",Beaver,OK,US,7234000,720500020290-001AT,Total Phosphorus,Likely Downward,1,↓,-0.00139,mg/L,-1.39,ug/L,0.0204,Highly Likely Downward,3,↓↓↓,-0.000338 10^6 kg/year,-0.6816,EGRET,36.82,-100.52,
Beaver River,"Beaver River, SH 23, Beaver",Beaver,OK,US,7234000,720500020290-001AT,Specific Conductance,Highly Likely Upward,-3,↑↑↑,7802,uS/cm,7802,uS/cm,1.091,Not Applicable,50,Not Applicable,Not Applicable,0,EGRET,36.82,-100.52,
Beaver River,"Beaver River, SH 23, Beaver",Beaver,OK,US,7234000,720500020290-001AT,Total hardness,Highly Likely Upward,-3,↑↑↑,2059,mg/L,2059,mg/L,1.723,Not Applicable,50,Not Applicable,Not Applicable,0,EGRET,36.82,-100.52,
Beaver River,"Beaver River, SH 23, Beaver",Beaver,OK,US,7234000,720500020290-001AT,Chlorophyll a,No Likely Trend,0,No Significant Trend,2.37,ug/L,2.37,ug/L,0.071,Not Applicable,50,Not Applicable,Not Applicable,0,EGRET,36.82,-100.52,
Beaver River,"Beaver River, SH 23, Beaver",Beaver,OK,US,,,Turbidity,Highly Likely Upward,-3,↑↑↑,0.135,NTU,0.135,NTU,0.2508,Not Applicable,50,Not Applicable,Not Applicable,0,Seasonal Kendall,36.82,-100.52,142
Beaver River,"Beaver River, SH 23, Beaver",Beaver,OK,US,,,Dissolved oxygen,Likely Downward,1,↓,-0.062,mg/L,-0.062,mg/L,-0.1817,Not Applicable,50,Not Applicable,Not Applicable,0,Seasonal Kendall,36.82,-100.52,141
Beaver River,"Beaver River, SH 23, Beaver",Beaver,OK,US,,,"Temperature, water",Highly Likely Downward,3,↓↓↓,-0.1324,deg C,-0.1324,deg C,-0.2394,Not Applicable,50,Not Applicable,Not Applicable,0,Seasonal Kendall,36.82,-100.52,138
Beaver River,"Beaver River, US 183, Fort Supply",Harper,OK,US,,,Dissolved oxygen,Highly Likely Downward,3,↓↓↓,-0.1493,mg/L,-0.1493,mg/L,-0.3865,Not Applicable,50,Not Applicable,Not Applicable,0,Mann-Kendall,36.59,-99.59,108
Beaver River,"Beaver River, US 183, Fort Supply",Harper,OK,US,,,"Temperature, water",No Likely Trend,0,No Significant Trend,No Significant Trend,deg C,No Significant Trend,deg C,0,Not Applicable,50,Not Applicable,Not Applicable,0,Seasonal Kendall,36.59,-99.59,110
Beaver River,"Beaver River, US 183, Fort Supply",Harper,OK,US,,,Turbidity,No Likely Trend,0,No Significant Trend,No Significant Trend,NTU,No Significant Trend,NTU,0,Not Applicable,50,Not Applicable,Not Applicable,0,Seasonal Kendall,36.59,-99.59,110
Beaver River,"Beaver River, US 183, Fort Supply",Harper,OK,US,,,Total Phosphorus,No Likely Trend,0,No Significant Trend,No Significant Trend,mg/L,No Significant Trend,ug/L,0,Not Applicable,50,Not Applicable,Not Applicable,0,Seasonal Kendall,36.59,-99.59,99
Beaver River,"Beaver River, US 183, Fort Supply",Harper,OK,US,,,Specific Conductance,No Likely Trend,0,No Significant Trend,No Significant Trend,uS/cm,No Significant Trend,uS/cm,0,Not Applicable,50,Not Applicable,Not Applicable,0,Seasonal Kendall,36.59,-99.59,100
Beaver River,"Beaver River, US 183, Fort Supply",Harper,OK,US,,,Total hardness,Somewhat Likely Upward,-2,↑↑,7.494,mg/L,7.494,mg/L,0.2086,Not Applicable,50,Not Applicable,Not Applicable,0,Seasonal Kendall,36.59,-99.59,100
Beaver River,"Beaver River, US 183, Fort Supply",Harper,OK,US,,,Total Nitrogen,Likely Upward,-1,↑,0.01145,mg/L,11.45,ug/L,0.2888,Not Applicable,50,Not Applicable,Not Applicable,0,Seasonal Kendall,36.59,-99.59,101
Beaver River,"Beaver River, US 83, Turpin",Beaver,OK,US,,,Dissolved oxygen,Somewhat Likely Upward,-2,↑↑,0.3504,mg/L,0.3504,mg/L,0.2084,Not Applicable,50,Not Applicable,Not Applicable,0,Seasonal Kendall,36.76,-100.84,58
Beaver River,"Beaver River, US 83, Turpin",Beaver,OK,US,,,"Temperature, water",Likely Upward,-1,↑,0.6885,deg C,0.6885,deg C,0.2847,Not Applicable,50,Not Applicable,Not Applicable,0,Mann-Kendall,36.76,-100.84,59
Beaver River,"Beaver River, US 83, Turpin",Beaver,OK,US,,,Turbidity,No Likely Trend,0,No Significant Trend,No Significant Trend,NTU,No Significant Trend,NTU,0,Not Applicable,50,Not Applicable,Not Applicable,0,Seasonal Kendall,36.76,-100.84,59
Beaver River,"Beaver River, US 83, Turpin",Beaver,OK,US,,,Total Phosphorus,No Likely Trend,0,No Significant Trend,No Significant Trend,mg/L,No Significant Trend,ug/L,0,Not Applicable,50,Not Applicable,Not Applicable,0,Seasonal Kendall,36.76,-100.84,59
Beaver River,"Beaver River, US 83, Turpin",Beaver,OK,US,,,Specific Conductance,No Likely Trend,0,No Significant Trend,No Significant Trend,uS/cm,No Significant Trend,uS/cm,0,Not Applicable,50,Not Applicable,Not Applicable,0,Seasonal Kendall,36.76,-100.84,59
Beaver River,"Beaver River, US 83, Turpin",Beaver,OK,US,,,Total hardness,Highly Likely Upward,-3,↑↑↑,41.16,mg/L,41.16,mg/L,0.2362,Not Applicable,50,Not Applicable,Not Applicable,0,Seasonal Kendall,36.76,-100.84,59
Beaver River,"Beaver River, US 83, Turpin",Beaver,OK,US,,,Total Nitrogen,Highly Likely Upward,-3,↑↑↑,0.0268,mg/L,26.8,ug/L,0.2594,Not Applicable,50,Not Applicable,Not Applicable,0,Seasonal Kendall,36.76,-100.84,59
Big Cabin Creek,"Big Cabin Creek, off US 69, Big Cabin",Craig,OK,US,,,Turbidity,No Likely Trend,0,No Significant Trend,No Significant Trend,NTU,No Significant Trend,NTU,0,Not Applicable,50,Not Applicable,Not Applicable,0,Seasonal Kendall,36.57,-95.15,108
Big Cabin Creek,"Big Cabin Creek, off US 69, Big Cabin",Craig,OK,US,,,Dissolved oxygen,No Likely Trend,0,No Significant Trend,No Significant Trend,mg/L,No Significant Trend,mg/L,0,Not Applicable,50,Not Applicable,Not Applicable,0,Seasonal Kendall,36.57,-95.15,109
Big Cabin Creek,"Big Cabin Creek, off US 69, Big Cabin",Craig,OK,US,,,"Temperature, water",No Likely Trend,0,No Significant Trend,No Significant Trend,deg C,No Significant Trend,deg C,0,Not Applicable,50,Not Applicable,Not Applicable,0,Seasonal Kendall,36.57,-95.15,109
Big Cabin Creek,"Big Cabin Creek, off US 69, Big Cabin",Craig,OK,US,,,Chlorophyll a,No Likely Trend,0,No Significant Trend,No Significant Trend,ug/L,No Significant Trend,ug/L,0,Not Applicable,50,Not Applicable,Not Applicable,0,Seasonal Kendall,36.57,-95.15,55
Big Cabin Creek,"Big Cabin Creek, off US 69, Big Cabin",Craig,OK,US,,,Total Phosphorus,Highly Likely Downward,3,↓↓↓,-0.007123,mg/L,-7.123,ug/L,-0.8724,Not Applicable,50,Not Applicable,Not Applicable,0,Seasonal Kendall,36.57,-95.15,110
Big Cabin Creek,"Big Cabin Creek, off US 69, Big Cabin",Craig,OK,US,,,Specific Conductance,No Likely Trend,0,No Significant Trend,No Significant Trend,uS/cm,No Significant Trend,uS/cm,0,Not Applicable,50,Not Applicable,Not Applicable,0,Seasonal Kendall,36.57,-95.15,108
