Lake,Site,Constituent Name,Final,TrendConc,Direction,Final Slope,N,Site ANOVA,Seas ANOVA,Comments,Reveiwer Comments
Birch,all,Chlorophyll (ug/L),NS Trend,No Significant Trend,N/A,N/A,30,NS,*,no trend,
Birch,all,Pheophytin A (ug/L),↑↑↑,Highly Likely Upward,up,0.2469,30,NS,*,Use SK slope,
Birch,all,Secchi (cm),NS Trend,No Significant Trend,N/A,N/A,21,NS,***,% of contribution too low,
Birch,all,SpC (uS/cm),↑,Likely Upward,up,1.41,39,NS,NS,,
Birch,all,Total N (mg/L),↑↑↑,Highly Likely Upward,up,0.007291,36,*,***,regression negative; questionable contibution; Use SK,
Birch,all,Total P (mg/L),NS Trend,No Significant Trend,N/A,N/A,36,*,***,no trend,
Birch,all,Turbidity (NTU),NS Trend,No Significant Trend,N/A,N/A,28,NS,***,no trend,
Bluestem,all,Chlorophyll (ug/L),↑↑,Somewhat Likely Upward,up,0.00779,32,*,***,model and dist good; reg model,
Bluestem,all,Pheophytin A (ug/L),NS Trend,No Significant Trend,N/A,N/A,32,NS,NS,no trend,
Bluestem,all,Secchi (cm),↑,Likely Upward,up,1.464,32,***,***,model poor adn dist ok; cont is low; us n-p slope,
Bluestem,all,SpC (uS/cm),↑↑,Somewhat Likely Upward,up,1.85,41,NS,***,,
Bluestem,all,Total N (mg/L),↓↓↓,Highly Likely Downward,down,-0.02604,42,NS,***,model good and dist ok; use reg slope,
Bluestem,all,Total P (mg/L),↓↓↓,Highly Likely Downward,down,-0.0008952,42,NS,***,model good and dist ok; use sk,
Bluestem,all,Turbidity (NTU),↓,Likely Downward,down,-0.3936,32,***,***,Model poor and dist ok; use SK,
Boomer,all,Chlorophyll (ug/L),↑↑↑,Highly Likely Upward,up,1.822,19,**,***,model and dist ok; use non-p slope,
Boomer,all,Pheophytin A (ug/L),↑↑,Somewhat Likely Upward,up,0.8772,19,NS,**,model and dist ok; use non-p slope,
Boomer,all,Secchi (cm),NS Trend,No Significant Trend,N/A,N/A,14,***,***,poor model but good dist;  nominal cont,
Boomer,all,SpC (uS/cm),↑↑↑,Highly Likely Upward,up,5.49,27,***,NS,,
Boomer,all,Total N (mg/L),↑↑,Somewhat Likely Upward,up,0.000524,22,NS,NS,good model and ok dist;  use reg,
Boomer,all,Total P (mg/L),↑↑↑,Highly Likely Upward,up,0.00006,22,***,*,good model and good dist; use reg,
Boomer,all,Turbidity (NTU),↓,Likely Downward,down,-0.2677,17,***,**,model and dist ok;  use SK,
BrokenBow,all,Chlorophyll (ug/L),↑↑↑,Highly Likely Upward,up,0.2099,30,**,***,Ready; Look at sites; use n-p dlope,
BrokenBow,all,Secchi (cm),NS Trend,No Significant Trend,N/A,N/A,28,***,***,Ready: Look at sites,
BrokenBow,all,SpC (uS/cm),↑↑↑,Highly Likely Upward,up,0.49,41,NS,***,,
BrokenBow,all,Total N (mg/L),↓↓↓,Highly Likely Downward,down,-0.01207,35,NS,***,model good and dist ok; use reg slope,
BrokenBow,all,Total P (mg/L),↓↓↓,Highly Likely Downward,down,-0.00024,33,***,***,Ready; good model; Look at sites; use SK,
BrokenBow,all,Turbidity (NTU),↓↓↓,Highly Likely Downward,down,-0.00837,29,***,***,use reg,
CantonLake,all,Chlorophyll (ug/L),↑,Likely Upward,up,0.5037,35,NS,***,Regression likely overfit;  by site analyses are 1 and 2 arrows;  go with SK,
CantonLake,all,Pheophytin A (ug/L),NS Trend,No Significant Trend,N/A,N/A,34,*,***,MK Not Sig; model is poor and dist is ffair; model cont low,
CantonLake,all,Secchi (cm),NS Trend,No Significant Trend,N/A,N/A,36,**,***,NS_MLR and SK,
CantonLake,all,SpC (uS/cm),↑↑↑,Highly Likely Upward,up,15.52,40,NS,**,,
CantonLake,all,Total N (mg/L),↑↑↑,Highly Likely Upward,up,0.000054,36,NS,***,good model and ok dist;  use reg,
CantonLake,all,Total P (mg/L),↓↓↓,Highly Likely Downward,down,-0.00397,36,***,***,Agreement'; model and dist good; use reg,
CantonLake,all,Turbidity (NTU),NS Trend,No Significant Trend,N/A,N/A,36,  ,*,NS_MLR and SK,
CarlAlbert,all,Chlorophyll (ug/L),↑↑↑,Highly Likely Upward,up,0.1749,18,NS,***,p;oor model and ok dist; mk slope,
CarlAlbert,all,Pheophytin A (ug/L),↑↑,Somewhat Likely Upward,up,0.05529,18,NS,NS,poor dist and model; use n-p slope,
CarlAlbert,all,Secchi (cm),NS Trend,No Significant Trend,N/A,N/A,14,NS,*,poor model and ok dist;  use n-p slope,
CarlAlbert,all,SpC (uS/cm),↑↑↑,Highly Likely Upward,up,0.81,19,NS,NS,,
CarlAlbert,all,Total N (mg/L),↑↑,Somewhat Likely Upward,up,0.004056,20,NS,**,poor dist and model;  use SK,
CarlAlbert,all,Total P (mg/L),NS Trend,No Significant Trend,N/A,N/A,20,NS,NS,no trend,
CarlAlbert,all,Turbidity (NTU),↓↓↓,Highly Likely Downward,down,-0.0192,14,NS,***,poor dist and model; use MK slope,
CarlBlackwell,all,Chlorophyll (ug/L),NS Trend,No Significant Trend,N/A,N/A,26,NS,***,Ready,
CarlBlackwell,all,Secchi (cm),↓↓,Somewhat Likely Downward,down,-2.61,21,***,***,Ready: Look at sites; use reg,
CarlBlackwell,all,SpC (uS/cm),↑↑↑,Highly Likely Upward,up,30.36,8,NS,***,,
CarlBlackwell,all,Total N (mg/L),NS Trend,No Significant Trend,N/A,N/A,34,**,***,Ready; look at sites,
CarlBlackwell,all,Total P (mg/L),↓↓,Somewhat Likely Downward,down,-0.0005255,34,NS,***,Use SK slope,
CarlBlackwell,all,Turbidity (NTU),NS Trend,No Significant Trend,N/A,N/A,25,***,***,Ready; Look at sites;  Good model and distribution,
Chandler,all,Chlorophyll (ug/L),NS Trend,No Significant Trend,N/A,N/A,20,NS,*,no trend,
Chandler,all,Pheophytin A (ug/L),↑↑,Somewhat Likely Upward,up,0.09941,20,NS,NS,model and dist ok; use sk,
Chandler,all,Secchi (cm),NS Trend,No Significant Trend,N/A,N/A,13,NS,***,no trend,
Chandler,all,SpC (uS/cm),↑↑↑,Highly Likely Upward,up,6.50,18,NS,**,use MK;  Reg models support but dist poor,
Chandler,all,Total N (mg/L),↓,Likely Downward,down,-0.0171,26,NS,NS,model and dist ok; use reg slope,
Chandler,all,Total P (mg/L),NS Trend,No Significant Trend,N/A,N/A,26,NS,NS,no trend,
Chandler,all,Turbidity (NTU),NS Trend,No Significant Trend,N/A,N/A,16,NS,*,model ok and dist poor; NS,
Chickasha,all,Chlorophyll (ug/L),NS Trend,No Significant Trend,N/A,N/A,32,NS,***,regression positive,
Chickasha,all,Pheophytin A (ug/L),↑↑,Somewhat Likely Upward,up,0.05824,32,NS,***,model and dist fair to poor; use sk,
Chickasha,all,Secchi (cm),NS Trend,No Significant Trend,N/A,N/A,25,NS,***,lack of contribution,
Chickasha,all,SpC (uS/cm),↑↑↑,Highly Likely Upward,up,37.67,33,***,***,reg model poor;  MK graph shows def upward slope,
Chickasha,all,Total N (mg/L),NS Trend,No Significant Trend,N/A,N/A,36,***,NS,Seasonal not significant; model good; distr ok,
Chickasha,all,Total P (mg/L),↓↓↓,Highly Likely Downward,down,-0.000002,36,NS,***,model and dist ok;  use regression,
Chickasha,all,Turbidity (NTU),↓,Likely Downward,down,-0.2113,30,***,***,model and dist poor;  use MK,
Claremore,all,Chlorophyll (ug/L),↓,Likely Downward,down,-0.001225,23,NS,***,model and dist good; use reg slope,
Claremore,all,Pheophytin A (ug/L),↑,Likely Upward,up,0.1864,23,NS,NS,model and dist ok; use mk,
Claremore,all,Secchi (cm),NS Trend,No Significant Trend,N/A,N/A,24,NS,*,model and dist ok,
Claremore,all,SpC (uS/cm),NS Trend,No Significant Trend,N/A,N/A,24,NS,***,Reg not reliable,
Claremore,all,Total N (mg/L),↑↑,Somewhat Likely Upward,up,0.00061,26,NS,***,Model and dist good;  Use Reg,
Claremore,all,Total P (mg/L),NS Trend,No Significant Trend,N/A,N/A,26,NS,***,very low contribution;,
Claremore,all,Turbidity (NTU),NS Trend,No Significant Trend,N/A,N/A,24,***,***,no trend,
ClearCreek,all,Chlorophyll (ug/L),↑↑↑,Highly Likely Upward,up,1.156,28,NS,***,Ready; reg slope,
ClearCreek,all,Secchi (cm),↑↑↑,Highly Likely Upward,up,1.668,24,NS,***,Ready; poor dist and  model; revuew fully; use SK,
ClearCreek,all,SpC (uS/cm),↑↑↑,Highly Likely Upward,up,5.71,35,NS,NS,,
ClearCreek,all,Total N (mg/L),↑↑↑,Highly Likely Upward,up,0.01219,33,NS,***,Ready;  Use SK,
ClearCreek,all,Total P (mg/L),NS Trend,No Significant Trend,N/A,N/A,33,NS,***,Ready,
ClearCreek,all,Turbidity (NTU),NS Trend,No Significant Trend,N/A,N/A,29,**,***,Ready; Poor regression model; look at sites; NS,
Clinton,all,Chlorophyll (ug/L),NS Trend,No Significant Trend,N/A,N/A,18,NS,***,model and dist poor,
Clinton,all,Pheophytin A (ug/L),NS Trend,No Significant Trend,N/A,N/A,18,NS,***,model and dist poor,
Clinton,all,Secchi (cm),↑↑,Somewhat Likely Upward,up,0.9196,16,NS,***,model poor and dist ok; use mK,
Clinton,all,SpC (uS/cm),↑↑↑,Highly Likely Upward,up,11.00,23,NS,**,,
Clinton,all,Total N (mg/L),NS Trend,No Significant Trend,N/A,N/A,33,NS,*,no trend,
Clinton,all,Total P (mg/L),NS Trend,No Significant Trend,N/A,N/A,33,NS,***,model ok but poor dist;  nominal cont,
Clinton,all,Turbidity (NTU),↓↓↓,Highly Likely Downward,down,-1.631,16,NS,***,model and dist ok; use reg slope,
Coalgate,all,Chlorophyll (ug/L),↑,Likely Upward,up,0.1612,21,NS,***,model and dist poor; sue mk,
Coalgate,all,Pheophytin A (ug/L),↑,Likely Upward,up,0.09554,21,NS,NS,model and dist poor; use MK,
Coalgate,all,Secchi (cm),NS Trend,No Significant Trend,N/A,N/A,17,NS,**,model and dist poor,
Coalgate,all,SpC (uS/cm),↑↑↑,Highly Likely Upward,up,2.33,22,NS,NS,,
Coalgate,all,Total N (mg/L),NS Trend,No Significant Trend,N/A,N/A,25,NS,***,model and dist good but cont is nominal,
Coalgate,all,Total P (mg/L),↓,Likely Downward,down,-0.0008761,25,NS,NS,model good and dist poor; use MK,
Coalgate,all,Turbidity (NTU),↑↑↑,Highly Likely Upward,up,0.1017,21,NS,***,model and dist ok; use reg slope,
Copan,all,Chlorophyll (ug/L),NS Trend,No Significant Trend,N/A,N/A,22,**,***,Ready; Look at sites,
Copan,all,Secchi (cm),↑↑↑,Highly Likely Upward,up,3.53800,14,NS,***,use MK slope,
Copan,all,SpC (uS/cm),NS Trend,No Significant Trend,N/A,N/A,33,NS,***,Graphic shows no notable trend; since seasonally sig use SK,
Copan,all,Total N (mg/L),↑↑↑,Highly Likely Upward,up,0.001675,31,*,***,Ready; model performed good; look at sites; use reg,
Copan,all,Total P (mg/L),NS Trend,No Significant Trend,N/A,N/A,29,***,***,Ready; Look at sites,
Copan,all,Turbidity (NTU),↓,Likely Downward,down,-3.057,18,***,***,Ready; Poor regression model; use SK slope,
CrowderLake,all,Chlorophyll (ug/L),↑,Likely Upward,up,1.464,66,*,***,Different Direction (MLR Model  and dist Poor); use SK,
CrowderLake,all,Pheophytin A (ug/L),↑↑↑,Highly Likely Upward,up,0.3638,66,***,*,Agreement; model poor and dist fair;  use SK slope,
CrowderLake,all,Secchi (cm),NS Trend,No Significant Trend,N/A,N/A,64,***,***,NS_MLR and SK,
CrowderLake,all,SpC (uS/cm),↑↑↑,Highly Likely Upward,up,13.42,60,***,***,,
CrowderLake,all,Total N (mg/L),↑↑↑,Highly Likely Upward,up,0.03213,66,***,***,Good Model but dist is poor;  use MK,
CrowderLake,all,Total P (mg/L),↑↑↑,Highly Likely Upward,up,0.0043,63,***,***,Agreement; model good and dist fair;  use reg slope,
CrowderLake,all,Turbidity (NTU),NS Trend,No Significant Trend,N/A,N/A,63,***,***,NS_MLR and SK,
Cushing,all,Chlorophyll (ug/L),NS Trend,No Significant Trend,N/A,N/A,20,*,NS,model and dist poor,
Cushing,all,Pheophytin A (ug/L),NS Trend,No Significant Trend,N/A,N/A,20,***,***,no trend,
Cushing,all,Secchi (cm),NS Trend,No Significant Trend,N/A,N/A,15,NS,***,model and dist poor,
Cushing,all,SpC (uS/cm),↑↑↑,Highly Likely Upward,up,9.00,29,NS,*,reg model poor;  MK graph shows def upward slope,
Cushing,all,Total N (mg/L),NS Trend,No Significant Trend,N/A,N/A,24,NS,***,no trend,
Cushing,all,Total P (mg/L),NS Trend,No Significant Trend,N/A,N/A,24,NS,***,model good and dist ok; nominal cont; NS,
Cushing,all,Turbidity (NTU),↓↓↓,Highly Likely Downward,down,-0.2651,18,***,***,model ok and dist good; use reg,
Stanley Draper,all,Chlorophyll (ug/L),↑↑↑,Highly Likely Upward,up,0.1825,29,NS,***,model poor; sk slope,
Draper,all,Pheophytin A (ug/L),↑,Likely Upward,up,0.0612,29,NS,NS,use MK slope,
Draper,all,Secchi (cm),NS Trend,No Significant Trend,N/A,N/A,25,NS,***,regression positive; model poor; feel as though is trending,
Draper,all,SpC (uS/cm),↑↑↑,Highly Likely Upward,up,0.73,41,NS,***,,
Draper,all,Total N (mg/L),NS Trend,No Significant Trend,N/A,N/A,34,NS,NS,low contribution and poor dist,
Draper,all,Total P (mg/L),↓↓,Somewhat Likely Downward,down,-0.0004432,34,NS,*,good model and fair distribution; use SK,
Draper,all,Turbidity (NTU),↓↓,Somewhat Likely Downward,down,-0.5477,26,NS,***,poor model and fair distribution;  use SK,
Dripping,all,Chlorophyll (ug/L),↑↑,Somewhat Likely Upward,up,0.000257,25,NS,***,good model; use reg,
Dripping,all,Pheophytin A (ug/L),↓↓,Somewhat Likely Downward,down,-0.512,25,NS,*,regression negative; good model; use reg,
Dripping,all,Secchi (cm),NS Trend,No Significant Trend,N/A,N/A,26,*,***,no trend,
Dripping,all,SpC (uS/cm),↑↑↑,Highly Likely Upward,up,1.54,32,*,NS,use MK as season NS,
Dripping,all,Total N (mg/L),NS Trend,No Significant Trend,N/A,N/A,29,NS,NS,no trend,
Dripping,all,Total P (mg/L),↓↓↓,Highly Likely Downward,down,-0.000102,29,NS,NS,good model; use reg,
Dripping,all,Turbidity (NTU),NS Trend,No Significant Trend,N/A,N/A,29,NS,***,average model,
Duncan,all,Chlorophyll (ug/L),NS Trend,No Significant Trend,N/A,N/A,18,NS,**,no trend,
Duncan,all,Pheophytin A (ug/L),↑↑↑,Highly Likely Upward,up,0.2985,18,NS,NS,model ok and poor dist; use MK,
Duncan,all,Secchi (cm),↑↑↑,Highly Likely Upward,up,36.67,12,NS,NS,model and dist ok; use reg slope,
Duncan,all,SpC (uS/cm),↑↑,Somewhat Likely Upward,up,7.66,22,NS,***,use SK;  reg good but dist shows issues,
Duncan,all,Total N (mg/L),↓↓↓,Highly Likely Downward,down,-0.1266,25,NS,NS,model good and dist ok; use reg slope,
Duncan,all,Total P (mg/L),NS Trend,No Significant Trend,N/A,N/A,25,NS,***,no trend,
Duncan,all,Turbidity (NTU),↓↓↓,Highly Likely Downward,down,-2.121,19,NS,***,model and dist ok; use reg slope,
Ellsworth,all,Chlorophyll (ug/L),NS Trend,No Significant Trend,N/A,N/A,28,**,***,Ready; Look at sites,
Ellsworth,all,Secchi (cm),NS Trend,No Significant Trend,N/A,N/A,21,***,***,Ready: Look at sites,
Ellsworth,all,SpC (uS/cm),NS Trend,No Significant Trend,N/A,N/A,41,NS,***,,
Ellsworth,all,Total N (mg/L),NS Trend,No Significant Trend,N/A,N/A,38,**,***,Ready; model performed fair; look at sites,
Ellsworth,all,Total P (mg/L),↑↑,Somewhat Likely Upward,up,0.001048,36,***,***,Ready; Look at sites; review fully;  poor model and dist;  use SK,
Ellsworth,all,Turbidity (NTU),NS Trend,No Significant Trend,N/A,N/A,27,***,***,Ready; Look at sites,
EThomas,all,Chlorophyll (ug/L),↑↑↑,Highly Likely Upward,up,0.07368,19,NS,NS,model good but dist poor; mk slope,
EThomas,all,Pheophytin A (ug/L),NS Trend,No Significant Trend,N/A,N/A,19,NS,**,no trend,
EThomas,all,Secchi (cm),NS Trend,No Significant Trend,N/A,N/A,8,NS,**,model and dist poor; nominal cont,
EThomas,all,SpC (uS/cm),↑↑↑,Highly Likely Upward,up,1.84,22,NS,***,use MK;  Reg models support but dist poor,
EThomas,all,Total N (mg/L),NS Trend,No Significant Trend,N/A,N/A,22,NS,***,no trend,
EThomas,all,Total P (mg/L),↓↓↓,Highly Likely Downward,down,-0.0004395,22,NS,NS,model good but dist poor; use MK,
EThomas,all,Turbidity (NTU),NS Trend,No Significant Trend,N/A,N/A,14,NS,***,no trend,
EuchaLake,all,Chlorophyll (ug/L),↑↑↑,Highly Likely Upward,up,0.4181,49,***,***,Use SK slope,
EuchaLake,all,Pheophytin A (ug/L),↑,Likely Upward,up,0.2134,49,NS,**,Poor model and distribution;  Use SK,
EuchaLake,all,Secchi (cm),NS Trend,No Significant Trend,N/A,N/A,31,*,***,NS_MLR and SK,
EuchaLake,all,SpC (uS/cm),NS Trend,No Significant Trend,N/A,N/A,27,***,***,,
EuchaLake,all,Total N (mg/L),↑↑↑,Highly Likely Upward,up,0.000105,32,***,***,MK Not Sig; Good model and distrubution; Use Reg,
EuchaLake,all,Total P (mg/L),↑↑↑,Highly Likely Upward,up,0.000003,31,NS,***,MK Not Sig; Good model and ave dist;  Use Reg,
EuchaLake,all,Turbidity (NTU),NS Trend,No Significant Trend,N/A,N/A,31,*,***,NS_MLR and SK,
Eufaula,all,Chlorophyll (ug/L),NS Trend,No Significant Trend,N/A,N/A,38,***,***,regression negative; little contribution,
Eufaula,all,Pheophytin A (ug/L),↑↑↑,Highly Likely Upward,up,0.1638,38,***,***,regression negative; ok model;  poor dist;  use SK slope,
Eufaula,all,Secchi (cm),NS Trend,No Significant Trend,N/A,N/A,30,***,***,regression negative; little contribution,
Eufaula,all,SpC (uS/cm),NS Trend,No Significant Trend,N/A,N/A,44,***,***,Reg not reliable,
Eufaula,all,Total N (mg/L),↑↑↑,Highly Likely Upward,up,0.008307,46,***,***,little contribution; use SK,
Eufaula,all,Total P (mg/L),↑↑↑,Highly Likely Upward,up,0.001224,46,***,***,regression negative; little contribution;  use SK,
Eufaula,all,Turbidity (NTU),↑↑,Somewhat Likely Upward,up,0.5091,34,***,***,little contribution;  poor model and distribution; sue SK,
Fairfax,all,Chlorophyll (ug/L),↑↑↑,Highly Likely Upward,up,0.001472,23,NS,***,model and dist ok; reg slope,
Fairfax,all,Pheophytin A (ug/L),↑↑↑,Highly Likely Upward,up,0.000739,23,NS,***,model and dist ok,
Fairfax,all,Secchi (cm),NS Trend,No Significant Trend,N/A,N/A,22,*,***,no trend,
Fairfax,all,SpC (uS/cm),↑,Likely Upward,up,0.93,31,NS,***,,
Fairfax,all,Total N (mg/L),↓↓,Somewhat Likely Downward,down,-0.000378,33,*,***,model and dist good;  unsure on direction; use reg,
Fairfax,all,Total P (mg/L),NS Trend,No Significant Trend,N/A,N/A,33,NS,*,no trend,
Fairfax,all,Turbidity (NTU),NS Trend,No Significant Trend,N/A,N/A,22,NS,***,model and dist poor,
FortCobb,all,Chlorophyll (ug/L),NS Trend,No Significant Trend,N/A,N/A,39,*,***,little contribution;  good model and distribution; NS,
FortCobb,all,Pheophytin A (ug/L),↑↑↑,Highly Likely Upward,up,0.3144,39,*,***,regression negative; use sk,
FortCobb,all,Secchi (cm),↑↑,Somewhat Likely Upward,up,0.7934,37,***,***,poor model and distribution; use MK,
FortCobb,all,SpC (uS/cm),↑↑↑,Highly Likely Upward,up,6.07,47,NS,***,,
FortCobb,all,Total N (mg/L),↑↑↑,Highly Likely Upward,up,0.01166,48,NS,***,regression negative; little contribution; uSe SK,
FortCobb,all,Total P (mg/L),↑↑↑,Highly Likely Upward,up,0.001706,48,***,***,regression negative;  good model; cont nom;  use SK,
FortCobb,all,Turbidity (NTU),↓↓↓,Highly Likely Downward,down,-0.2883,38,***,***,average model and poor dist;  use SK,
FortGibson,all,Chlorophyll (ug/L),↑↑,Somewhat Likely Upward,up,0.4281,28,NS,***,average model; poor distribution; SK slope,
FortGibson,all,Pheophytin A (ug/L),↑↑↑,Highly Likely Upward,up,0.1801,28,NS,***,regresssion negative; poor model/average distribution; use SK,
FortGibson,all,Secchi (cm),NS Trend,No Significant Trend,N/A,N/A,27,***,***,regresssion negative; poor model/average distribution,
FortGibson,all,SpC (uS/cm),↑,Likely Upward,up,0.94,36,NS,***,,
FortGibson,all,Total N (mg/L),NS Trend,No Significant Trend,N/A,N/A,34,NS,***,regression negative; little contribution,
FortGibson,all,Total P (mg/L),NS Trend,No Significant Trend,N/A,N/A,34,***,***,no trend,
FortGibson,all,Turbidity (NTU),NS Trend,No Significant Trend,N/A,N/A,28,***,***,no trend,
FortSupplyLake,all,Chlorophyll (ug/L),↑↑,Somewhat Likely Upward,up,0.4539,38,NS,***,Model poor and dist ok;   use SK slope,
FortSupplyLake,all,Pheophytin A (ug/L),↑↑,Somewhat Likely Upward,up,0.134,38,NS,***,Different Direction (MLR Model Poor; diss ok); use SK,
FortSupplyLake,all,Secchi (cm),NS Trend,No Significant Trend,N/A,N/A,36,***,***,NS_MLR and SK,
FortSupplyLake,all,SpC (uS/cm),↑↑↑,Highly Likely Upward,up,19.51,40,***,NS,,
FortSupplyLake,all,Total N (mg/L),↑↑,Somewhat Likely Upward,up,0.01718,39,NS,***,poor model and good distribution; use MK,
FortSupplyLake,all,Total P (mg/L),NS Trend,No Significant Trend,N/A,N/A,39,*,***,Poor model and distribution.  Use MK and SK results,
FortSupplyLake,all,Turbidity (NTU),NS Trend,No Significant Trend,N/A,N/A,37,***,***,NS_MLR and SK,
Foss,all,Chlorophyll (ug/L),↓↓↓,Highly Likely Downward,down,-0.3312,36,NS,***,revuew fully; use SK,
Foss,all,Pheophytin A (ug/L),↓↓,Somewhat Likely Downward,down,-0.00651,36,NS,***,regression negative; average model and dist,
Foss,all,Secchi (cm),↑↑↑,Highly Likely Upward,up,4.265,28,***,***,poor model; use SK,
Foss,all,SpC (uS/cm),↑↑↑,Highly Likely Upward,up,16.14,35,NS,*,,
Foss,all,Total N (mg/L),↑↑↑,Highly Likely Upward,up,0.004877,47,***,***,Use SK slope,
Foss,all,Total P (mg/L),↓↓↓,Highly Likely Downward,down,-0.0004082,47,***,***,contribution minimal; use SK,
Foss,all,Turbidity (NTU),↓↓↓,Highly Likely Downward,down,-0.437,31,***,***,Model average and distribution poor;  use SK,
Frederick,all,Chlorophyll (ug/L),NS Trend,No Significant Trend,N/A,N/A,33,NS,NS,no trend,
Frederick,all,Pheophytin A (ug/L),↑↑↑,Highly Likely Upward,up,0.06047,33,*,***,modle and dis ok; use SK,
Frederick,all,Secchi (cm),↑,Likely Upward,up,0.000733,29,NS,***,model and dist ok;  use regression,
Frederick,all,SpC (uS/cm),↑↑↑,Highly Likely Upward,up,4.46,35,NS,***,,
Frederick,all,Total N (mg/L),↑↑↑,Highly Likely Upward,up,0.002054,35,NS,***,model good and dist ok; use reg slope,
Frederick,all,Total P (mg/L),NS Trend,No Significant Trend,N/A,N/A,35,NS,***,model good and dist ok; nominal cont,
Frederick,all,Turbidity (NTU),↓↓,Somewhat Likely Downward,down,-2.036,32,*,*,model poor and dist ok;  use SK,
Fuqua,all,Chlorophyll (ug/L),↑,Likely Upward,up,0.32,30,**,***,model ok and dist poor;  use SK,
Fuqua,all,Secchi (cm),↓↓,Somewhat Likely Downward,down,1.115,26,***,***,Ready; Look at sites; Poor to Fair model; use SK,
Fuqua,all,SpC (uS/cm),↑↑↑,Highly Likely Upward,up,4.38,33,NS,NS,,
Fuqua,all,Total N (mg/L),↓↓↓,Highly Likely Downward,down,-0.01526,34,NS,***,Ready; model performed good and dist ok; review fully;  Use Reg,
